연번,업체명,업체주소,연락처
385,주식회사 이낙근찹쌀떡베이커리카페,"서울 송파구 중대로 316, 지1층 ~ 4층(오금동)",
386,베이커리카페 뱅센숲,"서울 은평구 갈현로 15, 1층 코너(신사동)",
387,진주회관,서울 중구 세종대로 11길 26(서소문동),
388,신한양 식당,"서울 중구 청파로 453, 1층(중림동)",
389,부암갈비,"인천 남동구 용천로 149, 1층(간석동)",
390,성진물텀벙이,인천 미추홀구 독배로403번길 10(용현동),
391,신흥부대고기,인천 중구 서해대로449번길 10(신흥동2가),
392,버텀라인,인천 중구 신포로23번길 23(중앙동4가),
393,낙원떡집,전남 순천시 역전장길 6(덕암동),
394,원조뽀빠이냉면,전북 군산시 장재길 12-4(장재동),
395,국제금고사,전북 군산시 죽성로 23-1(장미동),
396,㈜이성당,전북 군산시 중앙로 177(중앙로1가),
397,함지박,전북 익산시 동서로63길 60(어양동),
398,이경은헤어팜,제주 제주시 오현길 34(이도일동),
399,이태리안경,제주 제주시 중앙로 61(이도일동),
400,늘봄꽃집,제주 제주시 중앙로 64(일도일동),
401,금산원조 김정이삼계탕,충남 금산군 금산읍 인삼약초로 33,
402,심씨네젓갈식품,충남 논산시 강경읍 옥녀봉로27번길 32,
403,민속떡집,충남 당진시 무수동옛길 13(읍내동),
404,복지서점,충남 천안시 봉정로 347(두정동),
405,달동네마늘순대,충북 단양군 단양읍 수변로 73,
406,명동왕족,충북 제천시 명륜로6길 9(청전동),
407,청송통닭,충북 청주시 상당구 남사로 116(남문로2가),
408,금강설렁탕,충북 청주시 상당구 상당로5번길 35(석교동),
409,들림횟집,충북 충주시 살미면 팔봉향산길 374,
410,오복떡집,강원 원주시 평원로 12,
411,옥산장돌과이야기,강원 정선군 여량면 여량3길 79,
412,제궁태권도장,"경기 군포시 산본로 296-1, 1층 108호(금정동, 주공1단지내 상가)",
413,한화 하이안 세탁,"경기 김포시 풍무로68번길 41, 101호(풍무동, 한화유로메트로아파트 상가동)",
414,현경한약방,경기 김포시 양촌읍 양곡1로 23,
415,삼미정,"경기 부천시 부천로130번길 3, 1층(원미동)",
416,그냥동네안경원,"경기 부천시 부천로90번길 31, 1층 104호 일부(원미동, 대우연립)",
417,우드아트,"경기 성남시 수정구 제일로 154, 1층(수진동)",
418,충주기름집,경기 성남시 중원구 둔촌대로 83번길 7(성남동),
419,대성이발관,"경기 수원시 팔달구 인계로68번길 52, 102호(인계동)",
420,대하건재약업사,"경기 수원시 권선구 입북로 12, 1층 102호(입북동)",
421,진천식당,경기 수원시 장안구 정조로934번길 25(영화동),
422,깨 볶는 부부,경기 시흥시 도일로 100-4,
423,맨스헤어몽스튜디오,"경기 시흥시 은행로 66(은행동, 1층)",
424,벼슬구지뼈다귀감자탕,"경기 시흥시 연성로29번길 14-1(하중동, 1층)",
425,이안경박사,"경기 안산시 단원구 원곡로 36, 1층동 (원곡동) ",
426,그때그집,경기 안성시 안성맞춤대로 1052-1,
427,안성땅콩상회,경기 안성시 인지1길 6(아양동),
428,남한강 송어횟집,경기 여주시 세종대왕면 능서로 714,
429,단골집,경기 여주시 대신면 율촌리 379-4,
430,용인떡집,경기 용인시 처인구 금령로93번길 12-1(김량장동),
431,경원식당,경기 의정부시 둔야로 49번길 21(의정부동),
432,고산떡갈비,경기 의정부시 평화로 562번길 13(의정부동),
433,해성장식,경기 이천시 중리천로 11,
434,대로식당,"경기 화성시 병점중앙로 170번길 12-7(진안동, 쌍둥이빌딩A동 1층 대로식당)",
435,석정,경기 화성시 풀무골로 77번길 20-9(중동),
436,태양이발관,경기 화성시 경기대로 1024(병점동),
437,일미복요리전문점,경남 김해시 김해대로2511번길 4(삼정동),
438,박정희 머리방,경남 밀양시 내일상가2길 9(내일동),
439,향촌식육식당,경남 밀양시 내일상가1길 12(내일동),
440,배기연미용기능장의집,경남 진주시 석갑로 176-1(이현동),
441,미화횟집,경남 창녕군 남지읍 남지중앙로 131,
442,삼도왕족발보쌈,경남 창원시 진해구 중원동로 84(충무동),
443,아름다운안경가,"경남 창원시 의창구 원이대로 587, 105호(용호동, 정우상가)",
444,거북당꿀빵,"경남 통영시 통영해안로 368, 101호(동호동, 남현빌딩)",
445,무진장횟집,"경남 통영시 도천상가안길 60, 상가102호(도천동, 영생상가아파트2차)",
446,한려갈비,경남 통영시 해방다리1길 11-5(서호동),
447,한산섬식당,"경남 통영시 정동4길 58(정량동, 1층)",
448,뜰안,경북 경산시 압량읍 대학로 361,
449,브이아이피테일러(양복점),경북 구미시 구미중앙로 133(원평동),
450,경북유통,경북 상주시 삼백로 162-1(서성동),
451,까치구멍집,경북 안동시 석주로 203(상아동),
452,옥류관면옥,경북 안동시 문화광장길 40-11(삼산동),
453,현악기사,경북 안동시 서동문로 107(법상동),
454,동양순대,경북 영주시 중앙로83번길 33(영주동),
455,88 수족관,"경북 포항시 남구 상공로 252, 1층(해도동)",
456,삼육식당,경북 포항시 남구 오천읍 문덕로43번길 6-4,
457,(주)시민제과,"경북 포항시 북구 불종로 48, 지하,1,2,3,4층(대흥동)",
458,왕돼지갈비식당,경북 포항시 남구 송도로 34(송도동),
459,자금성반점,경북 포항시 남구 중앙로 24-1(해도동),
460,춘천닭갈비,"경북 포항시 남구 동해면 호미로 3065-1, 1층",
461,화신자전거 수완점,광주 광산구 장신로 45(장덕동),
462,화정떡갈비,광주 광산구 광산로 29번길 6(송정동),
463,내고향식당,"광주 남구 백양로 65-1(백운동, １층)",
464,진월 카센타,광주 남구 화산로 25(진월동),
465,남영숙 플라워& 아트,광주 동구 금남로 172(금남로5가),
466,아이샵안경원,광주 동구 제봉로 102(장동),
467,천지헤어,"광주 동구 중앙로 196번길 32, 1층(금남로2가)",
468,에덴미용아트,광주 북구 신흥로 25(중흥동),
469,자인방앗간,"대구 달서구 당산로 35, 바동 2호(본리동, 달서종합상가)",
470,최정자백년식당,"대구 북구 원대로 113, 1층(노원동1가)",
471,싱글벙글숯불막창식당,대구 북구 경진로1길 13(복현동),
472,프리모,"대구 서구 달구벌대로 1863, 2층(내당동)",
473,코스모스북,대구 중구 명륜로 71(남산동),
474,태화장,대전 동구 중앙로 203번길78(정동),
475,솔밭묵집,대전 유성구 관용로 51(관평동),
476,주식회사 장충동왕족발,대전 유성구 노은서로 75(노은동),
477,나이테플라워,대전 중구 대둔산로 384(산성동),
478,로쏘 주식회사(성심당),대전 중구 대종로480번길 15(은행동),
479,시쥬,"대전 중구 중앙로 지하 145, 가열12호,13호(선화동, C구역)",
480,곰보식당,"부산 사상구 낙동대로 1564(삼락동, (구포동1190번지 부속주차장))",
481,파밀리아제과점,"부산 사상구 대동로 101, 1층(학장동)",
482,길왕성테일러,부산 사하구 윤공단로14번길 17(다대동),
483,주식회사 쟝블랑제리,서울 관악구 낙성대역길 8(봉천동),
484,광나루순대,"서울 광진구 아차산로 621, 1층 105호(광장동)",
485,두부박사,서울 금천구 금하로25길 10(시흥동),
486,만두라,"서울 금천구 시흥대로 97, 53호(시흥동, 유통비지원)",
487,장안정,서울 동대문구 답십리로 291-3(장안동),
488,수원상회,서울 동작구 노들로 674(노량진동),
489,나폴레옹과자점,"서울 성북구 성북로 7(성북동1가, 외1필지)",
490,㈜대신제과,서울 성북구 아리랑로 32(동선동5가),
491,태조감자국,"서울 성북구 보문로34길 43, 1층(동선동1가)",
492,유천냉면,서울 송파구 강동대로3길 22(풍납동),
493,농업회사법인주식회사한씨떡집,세종 부강면 오대길9,
494,오세철헤어드레스,"울산 남구 대학로147번길 63(무거동, 삼익)",
495,임병용명인의활진복어요리연구소,"울산 동구 주전해안길 136, 1층(주전동)",
496,연안정육점,인천 강화군 교동면 대룡안길 54번길 44-10,
497,찬우정,"인천 강화군 선원면 중앙로 322, 1층",
498,시장정육점,"인천 계양구 작전시장로 20, 1층 103호(작전동)",
499,황해모밀냉면,인천 남동구 구월말로 92(만수동),
500,부평복음서점,인천 부평구 시장로 12(부평동),
501,부흥상회,"인천 부평구 부흥로 304번길 27, 라동 1호(부평동, 진흥종합시장)",
502,삼강옥,인천 중구 참외전로 158번길 1(경동),
503,서울순대,전남 목포시 수문로 43-1(남교동),
504,순천 건봉국밥,"전남 순천시 장평로 65, 1층(인제동)",
505,온정떡집,전남 순천시 북문길 11(매곡동),
506,(유)금성상회,전남 여수시 여객선터미널길 20-22(교동),
507,까치식당,전남 여수시 여문문화길 76(문수동),
508,명월갈비,전북 군산시 구영7길 59(신창동),
509,유정초밥,전북 군산시 대학로 6-4(영화동),
510,일흥옥,"전북 군산시 구영7길 25(월명동, 일흥옥)",
511,새집,전북 남원시 요천로 1397(천거동),
512,세종헤어,전북 남원시 의총로 70(하정동),
513,소씨네 흥부골 남원추어탕,전북 남원시 인월면 천왕봉로 62-8,
514,줄포수산,전북 부안군 진서면 곰소항길 82-1(줄포수산),
515,여성시대헤어 익산 롯데마트점,"전북 익산시 무왕로 1053, 3층(영등동, 롯데마트)",
516,한양불고기,전북 전주시 완산구 우전2길 6(효자동2가),
517,한일관본점,전북 전주시 완산구 어은로 48(중화산동2가),
518,서선민 헤어,"전북 정읍시 조곡천1길 56-1, 1층(시기동)",
519,로뎀나무,제주 제주시 삼무로 82(연동),
520,주식회사 별장,"제주 제주시 한림읍 한림상로 24, 101호",
521,명성불고기집,충남 공주시 유구읍 중앙1길 107,
522,초가집,충남 공주시 먹자1길 19-1(중동),
523,박가네집,충남 금산군 금산읍 남사직6길 33,
524,주식회사 태능초가집갈비,충남 논산시 중앙로 398번길7-7(취암동),
525,황해쌀상회,충남 서산시 동문동 900 장옥 B동 117-118. 132-135,
526,진미식당,충남 서천군 판교면 현암리 255-1,
527,광천원조어죽,충남 홍성군 광천읍 광천로329번길 24,
528,이재천 바버샵,"충북 증평군 증평읍 중앙로 220, 2층",
529,곰가내,충북 진천군 백곡면 구수리 76-2,
530,마라도일식,"충북 진천군 광혜원면 구암길 30, 1층",
531,충대구내이용원,충북 청주시 서원구 개신동 150,
532,질고개쌈밥,충북 제천시 용두대로 31길 55(신월동),
533,갈마가든,충북 충주시 살미면 용천리 246,
534,봉서식당,충북 충주시 산척면 월현길 20,
535,에이치에스디아이,충북 충주시 목행초길 7(목행동),
536,가족회관,전북 전주시 완산구 전라감영5길 17(중앙동 3가),
537,가포옛날영도집,경남 창원시 마산합포구 가포해안길 37(가포동),
538,갯바위,"경기 군포시 산본로323번길 16-7, 113호(산본동, 롯데프라자)",
539,경화춘,경남 김해시 분성로335번길 8-1(동상동),
540,광성TV,"전남 함평군 학교면 학다리길 314, 1층",
541,군포식당,"경기 군포시 군포로 556번길 6, 1,2층(당동)",
542,금양정,전북 전주시 완산구 어은로 30(중화산동2가),
543,길목식당,경남 통영시 동호로 13(정량동),
544,낙원떡방앗간,인천 미추홀구 용삼길 60-1(용현동),
545,남양사진관,경남 창원시 마산합포구 장장군로 31-23(장군동4가),
546,농업회사법인 킴스어페드㈜,대전 유성구 노은동 150-5,
547,대우족발,대구 북구 중앙대로 509-1(칠성동2가),
548,동궁염소탕,강원 강릉시 강릉대로419번길 17(포남동),
549,동봉,"대구 동구 팔공로 995, 1층(백안동)",
550,동아수산(유한),경기 안양시 동안구 흥안대로 313(평촌동),
551,주식회사 동화가든원조짬순,강원 강릉시 초당순두부길77번길 15(초당동),
552,두암음식점,전남 무안군 몽탄면 우명길 52,
553,마라도회식당,경북 포항시 북구 해안로 217-1(두호동),
554,마포나루(1호점),"서울 마포구 마포대로 68(도화동, 마포아크로타워 B01호, B02호)",
555,맥아당,충북 청주시 서원구 사운로 88(사직동),
556,벨라헤어,경남 진주시 비봉로24번길 12(중안동),
557,보안당안경,경기 고양시 일산서구 일청로 10(일산동),
558,봉담디지털스튜디오,경기 화성시 봉담읍 삼천병마로 1276,
559,봉우맛집,충북 충주시 봉현로 80(봉방동),
560,부산한복,인천 동구 중앙로 65-1(송현동),
561,산삼장어구이 앤 시장횟집,경남 밀양시 영남루2길 5(내일동),
562,산중식당,대구 동구 팔공산로185길 55(용수동),
563,성심예공원,서울 용산구 만리재로 174 (서계동),
564,송도갈매기주식회사,"인천 연수구 능허대로151번길 25(옥련동, 지하1층,2층전부)",
565,송림병,"경기 고양시 일산서구 대화로 130, 104호(대화동, 한내프라자)",
566,쉐프부랑제,"경기 김포시 모담공원로 155, 1층전체, 2층일부(운양동)",
567,신길안경원,서울 영등포구 도신로 64길 1(신길동),
568,신락원,서울 동대문구 전농로20길 2 1층(전농동),
569,심순녀안흥찐빵,강원 횡성군 안흥면 서동로 1029,
570,안경나라콘택트,전북 고창군 고창읍 남정1길 1,
571,약콩밀면,부산 남구 동명로145번길 80(용호동),
572,양지말화로구이,강원 홍천군 홍천읍 양지말길 17-4,
573,장터집,경기 양평군 양평읍 양평장터길 5,
574,여정식당여문점,전남 여수시 여문문화길 56(문수동),
575,영광굴비,전남 영광군 영광읍 중앙로2길 65,
576,옛집,"대구 중구 달성공원로 6길 48-5, 48-7(시장북로)",
577,온천골,경북 경산시 계양로 175(계양동),
578,용문마트,경기 하남시 역말로 26(덕풍동),
579,운채,강원 원주시 고문골길 47(행구동),
580,유림국기상패사,전북 전주시 덕진구 심방죽로 35(인후동2가),
581,유진테일러,전남 목포시 영산로 78-1(상락동2가),
582,삼대 인천게장,인천 동구 금곡로81번길 22 (송림동),
583,일성사양복점,부산 부산진구 범일로 142번길 25(범천동),
584,일월정 토속한정식,대구 달성군 논공읍 논공로 697-5,
585,장흥식품,"전남 장흥군 장흥읍 충열교촌길 8-9, 8-11",
586,정금주한복연구실,"경기 과천시 별양상가2로 20, 62호(별양동, 새서울프라자 2층)",
587,㈜덕화푸드,"부산 서구 원양로 35, 3층(암남동, 도매장동) ",
588,주식회사 배나무골,서울 서초구 마방로 2길 12(양재동),
589,주식회사 명가막국수,강원 춘천시 신북읍 상천 3길 8,
590,주식회사 예향,전남 강진군 강진읍 보은로3길 11-1,
591,㈜여의도떡방,"서울 강남구 삼성로 150(대치동, 미도상가 지하1층 17,18,19,82,83호)",
592,㈜한일관,서울 강남구 압구정로 38길 14(신사동),
593,주식회사 해운대암소갈비집,부산 해운대구 중동2로10번길 32-10(중동),
594,지리산식당,"전남 구례군 마산면 화엄사로 381, 1층",
595,진미정육점,경기 고양시 일산서구 일청로 12번길 9(일산동),
596,천일식당,전남 해남군 해남읍 읍내길 20-8,
597,"청주왕족발,보쌈",충북 진천군 진천읍 중앙서로 21,
598,청하,광주 동구 충장로 45-12,
599,칡산에,강원 원주시 금불4길 25-5(단계동),
600,태양하우스마트,전남 나주시 이창1길 16(이창동),
601,통만두집,"전남 여수시 통제영4길 12(중앙동, 주내과의원)",
602,편대장영화식당,경북 영천시 강변로 50-15(금노동),
603,포항할매집,"경북 영천시 시장4길 52, 제 2지구(완산동)",
604,풍년기름집,서울 중구 퇴계로 83길 10-12(황학동),
605,한려곰장어,경남 통영시 정동4길 57 (정량동) ,
606,한밭식당,충남 홍성군 광천읍 광천로 299번길 6-1,
607,한양모사,광주 동구 충장로 35-1(충장로5가),
608,한울이미용실,광주 동구 동명로67번길 17(지산동),
609,향옥정 주식회사,경남 김해시 김해대로 2787-21 (불암동),
610,호원당,서울 강남구 압구정로 34길 26(신사동),
611,혼수타운,경기 부천시 자유로47(심곡본동),
612,홍두깨국시집,경기 포천시 정문동길 24(어룡동),
613,화랑궁회관,광주 동구 구성로204번길 23(대인동),
614,희망통닭,부산 동래구 명륜로98번길 94(낙민동),
615,봄담은산채,강원 춘천시 선들길 38(삼천동),
616,대원당,"강원특별자치도 춘천시 퇴계로 191, 1, 2층(석사동)",
617,영동횟집,강원 강릉시 창해로 350번길 37(강문동),
618,지앤지오(G&GO)말글터,강원 강릉시 문화의길 9(임당동),
619,부곡통닭집,경기 의왕시 부곡시장길 17(삼동) 1층,
620,충남식당,경기 구리시 안골로97번길 49-1(수택동),
621,여명본점,경기 화성시 정남면 세자로303번길 11-8,
622,동전집,경남 창원시 진해구 충장로 88(충무동),
623,우창식품,경남 창원시 마산합포구 어시장7길 53(남성동),
624,주노미용실,경남 창녕군 창녕읍 자련길 26-1,
625,미래특수통닭,경남 사천시 팔포3길 3(서금동),
626,빅토리애드벌룬,경남 진주시 진주성로 183번길 22(상봉동),
627,노블레스헤어,"경남 김해시 계동로 102번길 27, 205호(대청동, 울트라상가)",
628,"무척산한옥마을,무척산관광농원,무척산태양광발전소,무척산갤러리",경남 김해시 생림면 안양로 358번길 38,
629,보림사진관,경남 김해시 호계로 425(부원동),
630,부일식당,경남 통영시 서호시장길 45(서호동),
631,향토집,경남 통영시 무전5길 37-41(무전동),
632,문앤문헤어스토리,광주 서구 염화로40번길 18(화정동),
633,문경정 짱뚱어탕 전문점,광주광역시 서구 화정로309번길 26-2(농성동),
634,코벤트,광주광역시 서구 상무대로 678(마륵동),
635,주몽가든맛집,전남 나주시 왕곡면 예향로 3683,
636,진성공예,"전라남도 담양군 담양읍 죽향문화로 35, 403호",
637,임가네 일반음식점,광주광역시 광산구 사암로130번길 65(우산동),
638,해금강,"대구 동구 신암남로 133. 1,2층",
639,큰나무집 궁중약백숙,대구 달성군 가창면 우록길 24(외2필지),
640,갈비둥지로,대구 달서구 대명천로 198(본리동),
641,경상도추어탕,경북 안동시 태사길 23-3(북문동),
642,순흥당한약방,경북 안동시 번영3길 11(천리동),
643,금오산고향촌식당,경북 구미시 금오산상가길 35-11(남통동),
644,보금이용소,경북 구미시 형곡서로 20(형곡동),
645,효령매운탕,대구 군위군 효령면 치산효령로 2267-8,
646,고령금산한우,경북 고령군 성산면 성산로 946-5,
647,동양카정비,경북 포항시 북구 장량주택로4번길 2(양덕동),
648,꽃수레,경북 포항시 남구 상도로 58(상도동),
649,주식회사 영양숯불갈비,경북 경주시 봉황로 79(서부동),
650,삼영식당,경북 경주시 봉황로 67(서부동),
651,THE MAYA(더 마야),경북 경주시 동성로111번길 7(노동동),
652,영천목탁공예사,"경북 영천시 새미1길 13, 1층(언하동)",
653,스쿨서점,경북 영주시 번영로 163(영주동),
654,한결청국장,경북 영주시 풍기읍 인삼로 1-1,
655,소백산생고기식당,경북 영주시 대학로 16(휴천동),
656,둔산꽃백화점,대전 유성구 노은동 138-6,
657,은용골농장가든,세종 장군면 은용2길 71,
658,부강옥 세종부강본점,세종 부강면 부강외천로 103,
659,산장가든,세종 연서면 도신고복로 1131-7(32),
660,송학사,"부산 동구 범일로 95, 1층(범일동, 1층)",
661,유니마트한우전문점,부산 북구 구포시장1길 10(구포동),
662,현음악기,부산 중구 남포길 45-2(남포동2가),
663,아리랑전자,"부산 부산진구 부전로 196, 99호(부전동, 부산전자상가1층)",
664,엠투,"부산광역시 부산진구 부전로162번길 28, 91,92,93,138,139,140,186,187,188,189,234,235,236,306,307,350,351,393,394,395호(부전동, 서면종합악기상가 2층)",
665,태화육개장,"부산 부산진구 서면문화로 18(부전동, 1층)",
666,평양옥,서울 서대문구 통일로 107-23(미근동),
667,포도나무,"서울 종로구 사직로 108-1, 1층(내자동)",
668,뚱뚱이할머니집,서울 중구 장충단로 174-1(장충동1가),
669,청수장,"서울 성북구 정릉로 237-2(정릉동, 1층)",
670,향호면옥,"서울 송파구 마천로 79(오금동, 장한빌딩)",
671,조희미용실,울산 중구 학성로 114(옥교동),
672,궁중삼계탕,울산 중구 먹자거리 6(성남동),
673,정자참가자미,울산 남구 왕생로45번길 3(달동),
674,반공방첩,인천 동구 샛골로 128(송림동),
675,유한회사한국집,전북 전주시 완산구 어진길 119(전동),
676,영흥관,전북 전주시 완산구 현무1길 17(경원동 3가),
677,신한양불고기,전북 전주시 완산구 전주객사3길 11(중앙동 1가),
678,만성한정식,전북 전주시 완산구 바우배기1길 31-9 2층(효자동2가),
679,교동다원,전북 전주시 완산구 은행로 65-5(교동),
680,보름베이커리,"전라북도 익산시 인북로 202, 1층(남중동)",
681,구드래돌쌈밥,충남 부여군 부여읍 나루터로 31,
682,구두래황토정,충남 부여군 규암면 백제문로 30,
683,광천해산물상사,충남 홍성군 광천읍 광천로299번길 36 1층,
684,조일사진관,충남 당진시 당진중앙2로 33-19(읍내동),
685,토속식당,"충남 공주시 백미고을길 5-7, 1층(금성동)",
686,할머니집식당,충북 진천군 이월면 화산동길 18,
687,새재황토방,충북 괴산군 연풍면 새재로 1833,
688,남한강횟집,충북 충주시 동량면 호반로 7,
689,명륜당서점,충북 옥천군 옥천읍 중앙로 36-1,
690,부산식당,강원 강릉시 중앙시장길 22-1(성남동),
691,천일안경원,강원 속초시 중앙로 122(금호동),
692,돌고래회센터,강원 속초시 대포항희망길 49(대포동),
693,수원갈비,"강원 속초시 엑스포로1길 28, 1층(조양동)",
694,양구재래식손두부,강원 양구군 양구읍 학안로 6,
695,동강다슬기,강원 영월군 영월읍 영월로 2105,
696,민생회관,"강원 원주시 중앙로 46, 1층(중앙동)",
697,정선면옥,강원 정선군 정선읍 봉양5길 35,
698,실비막국수,강원 춘천시 소양고개길 25(소양로2가),
699,휘닉스그린텔,강원 평창군 봉평면 태기로 73,
700,봉평메밀미가연,강원 평창군 봉평면 기풍로 108,
701,메밀방아용둔막국수,강원 횡성군 우천면 경강로 2883,
702,박현자네 더덕밥,강원 횡성군 횡성읍 횡성로 59,
703,조가네,강원 횡성군 횡성읍 섬강로 347,
704,함밭식당,강원 횡성군 횡성읍 섬강로 88(206-3),
705,고려분재연구원,경기 고양시 덕양구 서오릉로 334-41(용두동),
706,고향떡집,"경기 고양시 일산동구 일산로 197, 1층 1064, 1065, 1066, 1067호 (마두동, 센터21)",
707,아이랜드안경,경기 고양시 일산동구 일산로 197(마두동),
708,수양농장가든,경기 광주시 곤지암읍 경충대로 295번길 110-3,
709,양평기름집,경기 구리시 안골로97번길 36(수택동),
710,나룻터숯불장어구이,경기 김포시 월곶면 김포대로3023번길 96,
711,수빈관,경기 김포시 통진읍 김포대로 2374,
712,동양당(솔앤솔SOLNSOL),경기 남양주시 와부읍 수레로 2,
713,진미옥설농탕,경기 동두천시 생연로 185-1(생연동),
714,텍사스바베큐,경기 동두천시 중앙로 366(생연동),
715,금미당(금미주얼리),경기 부천시 부흥로 189(중동),
716,복사골뼈다귀해장국,충남 청양군 남양면 만수로 1582,
717,프랑세즈,경기 부천시 경인로 218(심곡본동),
718,이재영의 삐삐처럼,"경기 성남시 수정구 수정남로268번길 20, 1층(산성동)",
719,진성삼계탕,경기 성남시 수정구 산성대로255번길 8-5(신흥동),
720,참맛나리아,경기 성남시 수정구 시민로142번길 12-2(신흥동),
721,조한약방,경기 수원시 팔달구 정조로 792(팔달로2가),
722,고향순대국,경기 수원시 장안구 수성로370번길 52(영화동),
723,연포갈비,경기 수원시 팔달구 정조로906번길 56-5(북수동),
724,입주집,경기 수원시 팔달구 팔달문로3번길 37(팔달로1가),
725,호남순대,"경기 수원시 팔달구 팔달문로 19(지동, A동 5호)",
726,송탄부대찌개,"경기 시흥시 시청로68번길 10, 101호(장현동, 봉빈빌딩)",
727,흙과사람들,"경기 시흥시 비둘기공원로 21(대야동 201,202,203)",
728,이태리안경,"경기 안산시 단원구 라성로 36, 13-호(원곡동, 반월종합)",
729,현대마트,"경기 안산시 상록구 감골2로 10(사동, 현대2차 분산상가 101호~102호)",
730,솔로몬베이커리카페,"경기 안산시 단원구 선이로 14, 1120호, 1121호(선부동, 제일종합시장)",
731,모박사,경기 안성시 대덕면 서동대로 4653,
732,헤어살롱B&G,경기 안양시 동안구 경수대로570번길 9(호계동),
733,산하식당,경기 양주시 백석읍 기산로 410,
734,곰보(Gombo),"경기 의정부시 태평로73번길 20, 나동 1층 44호(의정부동, 의정부제일시장)",
735,일미만두1981의정부,"경기 의정부시 평화로 311, 1층전체(호원동)",
736,김성래피자,"경기도 이천시 부발읍 경충대로2041번길 52, 1층",
737,대창통닭,경기 평택시 자유로3번길 23(평택동),
738,주식회사 최네집,경기 평택시 경기대로 1401(서정동),
739,진미식당,경기 평택시 통복시장2로9번길 15(통복동),
740,대영철물,경기 화성시 우정읍 조암남로 19,
